,secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,Close,moneyness
779172,108105,2020-12-14,91,65,0.26053000000000004,3484.1540000000005,269.9211,0.023865,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-4.478038066497314
779173,108105,2020-12-14,91,70,0.278713,3408.9320000000002,329.0049,0.029352999999999997,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-6.540332965219342
779174,108105,2020-12-14,91,75,0.301202,3317.735,404.3844,0.039519,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-9.040600279020527
779175,108105,2020-12-14,91,80,0.330429,3201.843,504.6192,0.05809400000000001,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-12.217908518667087
779176,108105,2020-12-14,91,85,0.368304,3048.134,642.1233,0.086273,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-16.43201192708037
779177,108105,2020-12-14,91,90,0.41363599999999995,2838.7940000000003,833.5983,0.121473,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-22.17130115228666
779178,108105,2020-12-14,122,-90,0.139523,4048.5370000000003,429.5821,0.010891,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,10.995150386687014
779179,108105,2020-12-14,122,-85,0.145653,3982.8340000000003,373.3091,0.01072,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,9.19382947351357
779180,108105,2020-12-14,122,-80,0.152354,3931.0209999999997,332.8248,0.010801999999999999,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,7.773318378521599
779181,108105,2020-12-14,122,-75,0.159673,3885.4570000000003,300.7239,0.011089,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,6.524130577540932
779182,108105,2020-12-14,122,-70,0.16746,3842.238,273.3473,0.011404000000000001,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,5.339233562999057
779183,108105,2020-12-14,122,-65,0.17549700000000001,3799.067,248.6247,0.011807,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,4.155652521910969
779184,108105,2020-12-14,122,-60,0.183875,3754.781,225.769,0.012513,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,2.941502514136607
779185,108105,2020-12-14,122,-55,0.19289800000000001,3708.5040000000004,204.5117,0.013518,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.6727670241448722
779186,108105,2020-12-14,122,-50,0.202763,3659.133,184.4944,0.014725,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,0.3192060786128881
779187,108105,2020-12-14,122,-45,0.213565,3605.388,165.3186,0.016136,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-1.1542729478928537
779188,108105,2020-12-14,122,-40,0.225411,3545.823,146.6736,0.017803,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-2.787313755666876
779189,108105,2020-12-14,122,-35,0.23848200000000003,3478.6690000000003,128.3436,0.019884,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-4.628415449702905
